WEB_PAGE_ID,PROD_PGM_ID,PROGRAM_DESCRIPTION,SUBJECT_LINE,PRIMARY_HEADLINE,TEXT_HEADER_COPY,PRIMARY_SUBCOPY,PRIMARY_IMAGE_URL,LANDER_URL,PRIMARY_PRICE
13081,59652,Fishing Hats M's,USA-Made Classic Fishing Hats,Moose River Hat,"Created for anglers, our...","Created for anglers, our Stetson Moose Fishing Hat was designed for rugged use, with a wide brim that protects against sun and the elements.",https://cdni.llbean.net/is/image/wim/100120_1537_41?wid=318&hei=395,https://www.llbean.com/llb/shop/13081,From $189
13930,6828,Mission Furniture,"Classically Styled, American-Made Bookshelf",Mission Under-Window Bookshelf,Turn unused space into...,"Turn unused space into practical, attractive storage with this under-the-window bookshelf made from sustainably harvested hardwood.",https://cdni.llbean.net/is/image/wim/170252_1195_41?wid=318&hei=395,https://www.llbean.com/llb/shop/13930,From $199
14015,17182,Gun Cleaning Kits,Otis Tactical Cleaning System,Otis Tactical Cleaning System,A breech-to-muzzle cleaning...,"A breech-to-muzzle cleaning system that works on many firearm calibers, this gun-cleaning kit has all the fixings. Includes a fiberoptic light which allows for bore inspection.",https://cdni.llbean.net/is/image/wim/103197_0_41?wid=318&hei=395,https://www.llbean.com/llb/shop/14015,From $59.95
14774,3303,Cresta Hikers M's,Menâ€™s Leather Gore-Tex Hiking Boots,Men&#8217;s Gore-Tex Cresta Hiking Boots,Our popular men's leather...,"Our popular men's leather Gore-Tex hiking boots receive high praise from magazine gear editors and field testers alike for their comfort, performance and rugged construction.",https://cdni.llbean.net/is/image/wim/156659_1119_41?wid=318&hei=395,https://www.llbean.com/llb/shop/14774,From $249
17550,44421,Bending Branches Canoe Paddles,Junior Canoe Paddle,Junior Canoe Paddle,Watch their faces light up...,Watch their faces light up when they try out our Kids&#8217; canoe paddle&#8212;it&#8217;s lighter and shorter with a smaller diameter shaft to better grip and manipulate on the water.,https://cdni.llbean.net/is/image/wim/144327_0_41?wid=318&hei=395,https://www.llbean.com/llb/shop/17550,From $64.95
17692,21646,Hammock Accessories,Hammock Table,Hammock Table,Our weather-resistant hammock...,Our weather-resistant hammock table will keep all of your essentials for an afternoon of relaxation close at hand.,https://cdni.llbean.net/is/image/wim/159480_0_41?wid=318&hei=395,https://www.llbean.com/llb/shop/17692,From $69
18214,60313,Original Field Coat M's,"The Original Field Coat , Since 1924",Original Field Coat,Often Imitated&#8212;Never...,"Often Imitated&#8212;Never Duplicated&#174;. Our authentic men&#8217;s field jacket is made of heavy-duty Nor'Easter cotton canvas that feels broken in from the start, yet provides excellent protection against wind, rain and snow.",https://cdni.llbean.net/is/image/wim/187059_1378_41?wid=318&hei=395,https://www.llbean.com/llb/shop/18214,From $119
18664,60394,Wicked Good Slippers W's,Wicked Good Slippers-Now Even Better,Women's Wicked Good Moccasins,We&#8217;ve added more...,"We&#8217;ve added more cushioning comfort, a better fit and a thermoplastic rubber outsole to make our popular women&#8217;s furry slippers even cozier.",https://cdni.llbean.net/is/image/wim/130484_926_41?wid=318&hei=395,https://www.llbean.com/llb/shop/18664,From $69
18724,22330,Hearth Tools And Accessories,Handforged in the USA-Indoor Wood Rack,Hearthside Wood Rack,Keep the hearth neat and tidy...,"Keep the hearth neat and tidy with our indoor firewood rack. Handforged in the USA, it provides a stylish and intuitive way to organize newspaper, logs and kindling.",https://cdni.llbean.net/is/image/wim/156799_710_41?wid=318&hei=395,https://www.llbean.com/llb/shop/18724,From $199
19702,3336,Down Comforters,Permabaffle Box Goose Down Comforter,Permabaffle Box Goose Down Comforter,"Our warmest down comforter,...","Our warmest down comforter, this Permabaffle box goose down comforter offers thick, lofty warmth without a lot of extra weight.",https://cdni.llbean.net/is/image/wim/152372_459_41?wid=318&hei=395,https://www.llbean.com/llb/shop/19702,From $259
20773,17297,General Fishing Accessories,Boga Grip,Boga Grip,Got a barracuda on the line?...,Got a barracuda on the line? Keep a safe distance between you and your haul with this pivoting stainless-steel Boga Grip.,https://cdni.llbean.net/is/image/wim/161179_0_41?wid=318&hei=395,https://www.llbean.com/llb/shop/20773,From $124.95
20785,17045,Carlisle Oars,Bean's Oars,Bean's Oars,Our durable and lightweight...,Our durable and lightweight plastic blade oars will maneuver your sport or rowboat through countless fishing trips and family river or lake adventures.,https://cdni.llbean.net/is/image/wim/134081_1203_41?wid=318&hei=395,https://www.llbean.com/llb/shop/20785,From $99.95
23295,17195,Leashes And Collars,Waterproof Dog Collar,Waterproof Dog Collar,Designed specifically for...,"Designed specifically for retrieving dogs, our waterproof dog collar is a comfortable and secure way to keep your beloved canine on their leash.",https://cdni.llbean.net/is/image/wim/171131_1455_41?wid=318&hei=395,https://www.llbean.com/llb/shop/23295,From $12.95
23607,71362,Double L Chino Shorts M's,Wrinkle-Free Double L&#174; Chino Shorts,Wrinkle-Free Double L&#174; Chino Shorts,Made with classic plain front...,"Made with classic plain front styling in a wrinkle-free cotton fabric that holds its size and color, these men&#8217;s 8&#34; khaki shorts are everyday essentials you&#8217;ll wear again and again.",https://cdni.llbean.net/is/image/wim/215649_1165_41?wid=318&hei=395,https://www.llbean.com/llb/shop/23607,From $34.95
23608,71362,Double L Chino Shorts M's,Wrinkle-Free Double L Chino Shorts,Wrinkle-Free Double L Chino Shorts,Our men's wrinkle-free khaki...,"Our men's wrinkle-free khaki shorts won&#8217;t stain or wrinkle, and stay true to size wash after wash.",https://cdni.llbean.net/is/image/wim/215651_1458_41?wid=318&hei=395,https://www.llbean.com/llb/shop/23608,From $34.95
23757,17070,Pull Sleds,Heirloom-Quality Sled for Snowy Fun,Kids' Pull Sled and Cushion Set,Built to last for generations...,"Built to last for generations of snowy fun, our heirloom-quality snow sled is equipped with a cushion for comfort. Pull it through the woods, send it down a hill &#8211; it's made for winter.",https://cdni.llbean.net/is/image/wim/111515_0_41?wid=318&hei=395,https://www.llbean.com/llb/shop/23757,From $149
